bin_lo,bin_hi,mean_score,failure_rate,count,env
0.0,0.125,0.004883404125111483,0.0,36,nonholonomic_car
0.125,0.25,0.22507290972195113,1.0,3,nonholonomic_car
0.25,0.375,0.31648360844263207,1.0,6,nonholonomic_car
0.375,0.5,0.44453706210397903,1.0,11,nonholonomic_car
0.5,0.625,0.55453389792314,1.0,13,nonholonomic_car
0.625,0.75,0.6869913796657399,1.0,11,nonholonomic_car
0.75,0.875,0.7877537882988607,1.0,4,nonholonomic_car
0.875,1.0,0.9401134093285158,1.0,6,nonholonomic_car
0.0,0.125,0.053801424022774255,0.0,36,planar_pusher
0.125,0.25,0.18317392982547834,1.0,23,planar_pusher
0.25,0.375,0.31922518572557795,1.0,13,planar_pusher
0.375,0.5,0.4552191147208511,1.0,2,planar_pusher
0.5,0.625,0.5665546967218852,1.0,6,planar_pusher
0.625,0.75,0.6646400344456219,1.0,4,planar_pusher
0.75,0.875,0.8052302641060606,1.0,3,planar_pusher
0.875,1.0,0.9495944540662679,1.0,3,planar_pusher
0.0,0.125,0.00026451152263185494,0.0,54,point_mass
0.25,0.375,0.3278371272860953,1.0,3,point_mass
0.375,0.5,0.4333262213124221,1.0,10,point_mass
0.5,0.625,0.5636485964057314,1.0,10,point_mass
0.625,0.75,0.6865597436791274,1.0,7,point_mass
0.75,0.875,0.8047538086114553,1.0,3,point_mass
0.875,1.0,0.9580813004940757,1.0,3,point_mass
0.0,0.125,0.017057072562687847,0.2345679012345679,81,two_link_arm
0.125,0.25,0.20659933606800093,1.0,1,two_link_arm
0.375,0.5,0.4841383801437582,1.0,1,two_link_arm
0.5,0.625,0.550749695855838,1.0,3,two_link_arm
0.625,0.75,0.695971889617102,1.0,1,two_link_arm
0.75,0.875,0.8074987253969765,1.0,1,two_link_arm
0.875,1.0,0.9500598648956506,1.0,2,two_link_arm
